2024-04-16 16:26:57,988 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-16 16:27:41,617 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-16 16:28:49,350 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-16 16:28:55,390 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-16 16:30:18,077 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-04-16 16:30:18,078 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-04-16 16:30:18,078 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-16 16:30:22,927 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-16 16:31:24,885 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-16 16:31:33,865 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-16 16:31:40,002 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-16 16:32:45,336 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-16 16:32:54,404 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-16 16:32:57,174 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-16 16:33:58,542 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-16 16:34:14,739 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-16 16:34:17,350 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-16 16:35:23,643 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-17 12:18:26,327 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=7, releaselevel='final', serial=0)
2024-04-17 12:18:26,328 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.2.1-arm64-arm-64bit
2024-04-17 12:18:26,328 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-17 12:18:30,362 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-17 12:19:06,006 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-17 12:19:20,513 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-17 12:19:25,412 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-17 12:21:36,381 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-17 12:21:48,100 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-17 12:21:50,776 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-17 12:22:25,281 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
2024-04-17 12:22:42,468 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:42:30:78:92:49
2024-04-17 12:22:45,196 | MainThread   | [INFO    ] | _connect            |: Connected to c0:42:30:78:92:49
2024-04-17 12:23:21,727 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EF8FB8D-1A06-FB11-4002-B52B84BE3598
